q,seq_len,p_clean,p_corrupt,top1_clean_id,top1_corrupt_id,top1_clean_tok,top1_corrupt_tok,y_clean,y_corrupt_non_tool,strict,TE
48,215,0.666990339756012,0.007550375536084175,151657,8420,<tool_call>,Here,1,1,1,0.6594399642199278
49,195,0.9452292323112488,0.048412371426820755,151657,8420,<tool_call>,Here,1,1,1,0.896816860884428
50,205,0.7358434200286865,0.01462837029248476,151657,8420,<tool_call>,Here,1,1,1,0.7212150497362018
51,221,0.9866130352020264,0.5532930493354797,151657,151657,<tool_call>,<tool_call>,1,0,0,0.43331998586654663
52,202,0.9910244941711426,0.5685355067253113,151657,151657,<tool_call>,<tool_call>,1,0,0,0.4224889874458313
53,215,0.9695308804512024,0.08529483526945114,151657,8420,<tool_call>,Here,1,1,1,0.8842360451817513
54,197,0.9868653416633606,0.06139199063181877,151657,8420,<tool_call>,Here,1,1,1,0.9254733510315418
55,205,0.9706096053123474,0.25591757893562317,151657,8420,<tool_call>,Here,1,1,1,0.7146920263767242
56,188,0.938906192779541,0.01097387820482254,151657,8420,<tool_call>,Here,1,1,1,0.9279323145747185
57,212,0.7012138962745667,0.06212324649095535,151657,8420,<tool_call>,Here,1,1,1,0.6390906497836113
58,207,0.828733503818512,0.02266537770628929,151657,8420,<tool_call>,Here,1,1,1,0.8060681261122227
59,215,0.902732253074646,0.03146025910973549,151657,8420,<tool_call>,Here,1,1,1,0.8712719939649105
60,208,0.6488892436027527,0.029607553035020828,151657,8420,<tool_call>,Here,1,1,1,0.6192816905677319
61,203,0.9819983839988708,0.27558836340904236,151657,8420,<tool_call>,Here,1,1,1,0.7064100205898285
62,210,0.8917115926742554,0.28795933723449707,151657,8420,<tool_call>,Here,1,1,1,0.6037522554397583
63,233,0.9470174908638,0.3187601864337921,151657,8420,<tool_call>,Here,1,1,1,0.6282573044300079
64,283,0.4620063006877899,0.0069647058844566345,40,40,I,I,0,1,0,0.4550415948033333
65,261,0.33652761578559875,0.0018975622951984406,151657,8420,<tool_call>,Here,1,1,1,0.3346300534904003
66,226,0.9498142004013062,0.5650792121887207,151657,151657,<tool_call>,<tool_call>,1,0,0,0.38473498821258545
67,276,0.9473156332969666,0.03229181468486786,151657,8420,<tool_call>,Here,1,1,1,0.9150238186120987
68,382,0.9252758026123047,0.03730899468064308,151657,8420,<tool_call>,Here,1,1,1,0.8879668079316616
69,471,0.9984962344169617,0.9858512878417969,151657,151657,<tool_call>,<tool_call>,1,0,0,0.012644946575164795
70,321,0.053963109850883484,0.004943965934216976,40,1249,I,To,0,1,0,0.04901914391666651
71,280,0.9007818102836609,0.009649030864238739,151657,8420,<tool_call>,Here,1,1,1,0.8911327794194221
72,279,0.6117088198661804,0.011982651427388191,151657,8420,<tool_call>,Here,1,1,1,0.5997261684387922
73,386,0.8802089691162109,0.06455250829458237,151657,785,<tool_call>,The,1,1,1,0.8156564608216286
74,313,0.044435180723667145,0.0005000695819035172,40,785,I,The,0,1,0,0.04393511114176363
75,349,0.20648133754730225,0.0009809392504394054,40,8420,I,Here,0,1,0,0.20550039829686284
76,239,0.24391107261180878,0.015946203842759132,40,8420,I,Here,0,1,0,0.22796486876904964
77,298,0.9029527306556702,0.23526102304458618,151657,8420,<tool_call>,Here,1,1,1,0.667691707611084
78,269,0.7211238741874695,0.01346097607165575,151657,8420,<tool_call>,Here,1,1,1,0.7076628981158137
79,471,0.9911208748817444,0.9676594138145447,151657,151657,<tool_call>,<tool_call>,1,0,0,0.023461461067199707
80,303,0.9937160015106201,0.3598390519618988,151657,151657,<tool_call>,<tool_call>,1,0,0,0.6338769495487213
81,277,0.32852885127067566,0.0018446153262630105,40,1249,I,To,0,1,0,0.32668423594441265
82,426,0.8741758465766907,0.002701154910027981,151657,785,<tool_call>,The,1,1,1,0.8714746916666627
83,237,0.44958391785621643,0.01163731049746275,151657,8420,<tool_call>,Here,1,1,1,0.4379466073587537
84,200,0.7651634216308594,0.04870978370308876,151657,785,<tool_call>,The,1,1,1,0.7164536379277706
85,303,0.9836705327033997,0.009729811921715736,151657,8420,<tool_call>,Here,1,1,1,0.9739407207816839
86,211,0.936591625213623,0.36401888728141785,151657,151657,<tool_call>,<tool_call>,1,0,0,0.5725727379322052
87,286,0.6676598787307739,0.0005970477941446006,151657,8420,<tool_call>,Here,1,1,1,0.6670628309366293
88,415,0.8453463912010193,0.05107058957219124,151657,40,<tool_call>,I,1,1,1,0.794275801628828
89,359,0.9754349589347839,0.04066145792603493,151657,1249,<tool_call>,To,1,1,1,0.934773501008749
90,266,0.9035281538963318,0.1097591370344162,151657,8420,<tool_call>,Here,1,1,1,0.7937690168619156
91,280,0.752410352230072,0.0022671506740152836,151657,8420,<tool_call>,Here,1,1,1,0.7501432015560567
92,250,0.34346556663513184,0.031097887083888054,40,1249,I,To,0,1,0,0.3123676795512438
93,291,0.8919514417648315,0.39992696046829224,151657,151657,<tool_call>,<tool_call>,1,0,0,0.4920244812965393
94,254,0.9541393518447876,0.1550762802362442,151657,39814,<tool_call>,Sure,1,1,1,0.7990630716085434
95,483,0.3458142876625061,0.000550587777979672,40,785,I,The,0,1,0,0.34526369988452643
96,329,0.2919333577156067,0.0029236155096441507,40,8420,I,Here,0,1,0,0.28900974220596254
97,311,0.7916855216026306,0.030551360920071602,151657,8420,<tool_call>,Here,1,1,1,0.761134160682559
98,269,0.9546471834182739,0.04686402902007103,151657,8420,<tool_call>,Here,1,1,1,0.9077831543982029
99,228,0.9749959111213684,0.6623427867889404,151657,151657,<tool_call>,<tool_call>,1,0,0,0.312653124332428
100,307,0.6880447268486023,0.00559005793184042,151657,8420,<tool_call>,Here,1,1,1,0.6824546689167619
101,288,0.8462029695510864,0.007420370355248451,151657,8420,<tool_call>,Here,1,1,1,0.838782599195838
102,272,0.4109553396701813,9.472237394447802e-08,8420,8420,Here,Here,0,1,0,0.41095524494780733
103,255,0.9288210272789001,0.01027610246092081,151657,8420,<tool_call>,Here,1,1,1,0.9185449248179793
104,306,0.7782439589500427,0.016400756314396858,151657,8420,<tool_call>,Here,1,1,1,0.7618432026356459
105,238,0.543998658657074,0.010566627606749535,151657,8420,<tool_call>,Here,1,1,1,0.5334320310503244
106,435,0.981867253780365,0.19406749308109283,151657,8420,<tool_call>,Here,1,1,1,0.7877997606992722
107,282,0.8905048370361328,0.10848724097013474,151657,8420,<tool_call>,Here,1,1,1,0.7820175960659981
108,370,0.6894267797470093,0.0016786125488579273,151657,1249,<tool_call>,To,1,1,1,0.6877481671981514
109,257,0.8809043169021606,0.14642390608787537,151657,40,<tool_call>,I,1,1,1,0.7344804108142853
110,455,0.9970821738243103,0.867134690284729,151657,151657,<tool_call>,<tool_call>,1,0,0,0.1299474835395813
111,353,0.48300981521606445,0.0016074450686573982,151657,1249,<tool_call>,To,1,1,1,0.48140237014740705
112,307,0.7211390137672424,0.0011537870159372687,151657,8420,<tool_call>,Here,1,1,1,0.7199852267513052
113,318,0.6802960634231567,0.07226036489009857,151657,8420,<tool_call>,Here,1,1,1,0.6080356985330582
114,302,0.9671594500541687,0.4648401439189911,151657,151657,<tool_call>,<tool_call>,1,0,0,0.5023193061351776
115,244,0.4826442301273346,0.0024584352504462004,151657,1249,<tool_call>,To,1,1,1,0.4801857948768884
116,482,0.9887588024139404,0.9442688226699829,151657,151657,<tool_call>,<tool_call>,1,0,0,0.04448997974395752
117,257,0.2218892127275467,0.0010230881161987782,40,1249,I,To,0,1,0,0.2208661246113479
118,337,0.8693305850028992,0.11913764476776123,151657,8420,<tool_call>,Here,1,1,1,0.7501929402351379
119,305,0.6887498497962952,0.005697822663933039,151657,8420,<tool_call>,Here,1,1,1,0.6830520271323621
120,324,0.00020494806813076138,9.859207057161257e-05,40,785,I,The,0,1,0,0.00010635599755914882
121,379,0.925939679145813,5.525063170352951e-05,151657,1249,<tool_call>,To,1,1,1,0.9258844285141095
122,259,0.9333852529525757,0.03642304986715317,151657,8420,<tool_call>,Here,1,1,1,0.8969622030854225
123,293,0.9296132922172546,0.025807620957493782,151657,8420,<tool_call>,Here,1,1,1,0.9038056712597609
124,388,0.9898267984390259,0.444214791059494,151657,151657,<tool_call>,<tool_call>,1,0,0,0.5456120073795319
125,445,0.9645066857337952,0.471036821603775,151657,151657,<tool_call>,<tool_call>,1,0,0,0.49346986413002014
126,297,0.6737774014472961,0.06432107836008072,151657,8420,<tool_call>,Here,1,1,1,0.6094563230872154
127,405,0.9824368357658386,0.5194466710090637,151657,151657,<tool_call>,<tool_call>,1,0,0,0.4629901647567749
128,410,0.9774910807609558,0.6765319108963013,151657,151657,<tool_call>,<tool_call>,1,0,0,0.30095916986465454
129,247,0.8607001304626465,0.028676817193627357,151657,8420,<tool_call>,Here,1,1,1,0.8320233132690191
130,552,0.9521558880805969,0.40122583508491516,151657,151657,<tool_call>,<tool_call>,1,0,0,0.5509300529956818
131,391,0.9910792708396912,0.1407865583896637,151657,40,<tool_call>,I,1,1,1,0.8502927124500275
132,230,0.9650568962097168,0.4857657551765442,151657,151657,<tool_call>,<tool_call>,1,0,0,0.4792911410331726
133,289,0.5200315713882446,0.13995498418807983,151657,1249,<tool_call>,To,1,1,1,0.3800765872001648
134,317,0.6855414509773254,0.04373643174767494,151657,8420,<tool_call>,Here,1,1,1,0.6418050192296505
135,293,0.16080109775066376,0.00475995521992445,40,1249,I,To,0,1,0,0.1560411425307393
136,259,0.7862110733985901,0.02803245559334755,151657,8420,<tool_call>,Here,1,1,1,0.7581786178052425
137,294,0.7202936410903931,0.011345833539962769,151657,8420,<tool_call>,Here,1,1,1,0.7089478075504303
138,297,0.8675681352615356,0.17361359298229218,151657,8420,<tool_call>,Here,1,1,1,0.6939545422792435
139,233,0.4542219936847687,0.04015984758734703,151657,785,<tool_call>,The,1,1,1,0.41406214609742165
140,253,0.8869062066078186,0.08574814349412918,151657,8420,<tool_call>,Here,1,1,1,0.8011580631136894
141,262,0.9842579364776611,0.17725643515586853,151657,8420,<tool_call>,Here,1,1,1,0.8070015013217926
142,370,0.9814178943634033,0.2546846568584442,151657,8420,<tool_call>,Here,1,1,1,0.7267332375049591
143,327,0.9193491339683533,0.08828247338533401,151657,8420,<tool_call>,Here,1,1,1,0.8310666605830193
144,305,0.9114347100257874,0.00030855732620693743,151657,1249,<tool_call>,To,1,1,1,0.9111261526995804
145,313,0.03534231707453728,0.0031984266825020313,40,1249,I,To,0,1,0,0.032143890392035246
146,235,0.7347971796989441,0.0941825658082962,151657,8420,<tool_call>,Here,1,1,1,0.6406146138906479
147,285,0.2497224062681198,0.0003524594649206847,40,8420,I,Here,0,1,0,0.24936994680319913
148,324,0.47927749156951904,0.025284621864557266,151657,8420,<tool_call>,Here,1,1,1,0.4539928697049618
149,367,0.9553557634353638,0.16868436336517334,151657,8420,<tool_call>,Here,1,1,1,0.7866714000701904
150,343,0.6324532628059387,0.0013818086590617895,151657,8420,<tool_call>,Here,1,1,1,0.6310714541468769
151,246,0.5643704533576965,0.0027832812629640102,151657,8420,<tool_call>,Here,1,1,1,0.5615871720947325
152,295,0.8365582227706909,0.09405852109193802,151657,8420,<tool_call>,Here,1,1,1,0.7424997016787529
153,386,0.9888455867767334,0.11785458773374557,151657,8420,<tool_call>,Here,1,1,1,0.8709909990429878
154,433,0.9915633797645569,0.9421315789222717,151657,151657,<tool_call>,<tool_call>,1,0,0,0.049431800842285156
155,285,0.48548418283462524,0.005641718860715628,151657,1249,<tool_call>,To,1,1,1,0.4798424639739096
156,224,0.8655368685722351,0.03903503715991974,151657,8420,<tool_call>,Here,1,1,1,0.8265018314123154
157,230,0.9338001012802124,0.10131100565195084,151657,1249,<tool_call>,To,1,1,1,0.8324890956282616
158,265,0.7290080189704895,0.0015621371567249298,151657,8420,<tool_call>,Here,1,1,1,0.7274458818137646
159,276,0.06437999755144119,0.0040853144600987434,40,8420,I,Here,0,1,0,0.06029468309134245
160,446,0.9935966730117798,0.883969247341156,151657,151657,<tool_call>,<tool_call>,1,0,0,0.10962742567062378
161,363,0.8145121932029724,0.008690975606441498,151657,785,<tool_call>,The,1,1,1,0.8058212175965309
162,267,0.8262129426002502,0.007332689594477415,151657,8420,<tool_call>,Here,1,1,1,0.8188802530057728
163,242,0.6639883518218994,0.0075196195393800735,151657,1249,<tool_call>,To,1,1,1,0.6564687322825193
164,262,0.8914616107940674,0.007089647930115461,151657,8420,<tool_call>,Here,1,1,1,0.8843719628639519
